Kind,Name,PercentLackOfCohesion,,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting,MaxInheritanceTree,CountClassDerived,CountClassBase,CountClassCoupled
Public Method,data.User.setUserName,,,,1,,0,,,,
Public Method,data.User.toString,,,,1,,0,,,,
Package,exceptions,,,1,6,1,0,,,,
Public Class,exceptions.PermissionDeniedException,0,,1,2,1,0,2,0,1,0
Public Constructor,exceptions.PermissionDeniedException.PermissionDeniedException,,,,1,,0,,,,
Public Constructor,exceptions.PermissionDeniedException.PermissionDeniedException,,,,1,,0,,,,
Public Class,exceptions.StatusUnavailableException,0,,1,4,1,0,2,0,1,2
Public Constructor,exceptions.StatusUnavailableException.StatusUnavailableException,,,,1,,0,,,,
Public Constructor,exceptions.StatusUnavailableException.StatusUnavailableException,,,,1,,0,,,,
Public Constructor,exceptions.StatusUnavailableException.StatusUnavailableException,,,,1,,0,,,,
Public Constructor,exceptions.StatusUnavailableException.StatusUnavailableException,,,,1,,0,,,,
Package,main,,,3,304,7,5,,,,
Public Class,main.ControllerFlight,70,,2,37,3,3,1,0,1,4
Public Constructor,main.ControllerFlight.ControllerFlight,,,,1,,0,,,,
Protected Method,main.ControllerFlight.addFlight,,,,8,,3,,,,
Protected Method,main.ControllerFlight.changeFlight,,,,14,,3,,,,
Private Method,main.ControllerFlight.flighSetSeatCapacity,,,,1,,0,,,,
Private Method,main.ControllerFlight.flightSetArriveCity,,,,1,,0,,,,
Private Method,main.ControllerFlight.flightSetDistance,,,,1,,0,,,,
Private Method,main.ControllerFlight.flightSetPrice,,,,1,,0,,,,
Private Method,main.ControllerFlight.flightSetStartCity,,,,1,,0,,,,
Private Method,main.ControllerFlight.scanNextLine,,,,1,,0,,,,
Private Method,main.ControllerFlight.serverGetDaemon,,,,3,,1,,,,
Private Method,main.ControllerFlight.setFlightArriveTime,,,,1,,0,,,,
Private Method,main.ControllerFlight.setFlightName,,,,1,,0,,,,
Private Method,main.ControllerFlight.setFlightStartTime,,,,1,,0,,,,
Private Static Method,main.ControllerFlight.strToInteger,,,,1,,0,,,,
Public Static Method,main.ControllerFlight.systemMessage,,,,1,,0,,,,
Public Class,main.Main,81,,5,100,7,5,1,0,1,9
Private Static Method,main.Main.add,,,,6,,3,,,,
Private Static Method,main.Main.addAdmin,,,,2,,1,,,,
Private Static Method,main.Main.addCity,,,,3,,1,,,,
Private Static Method,main.Main.addFlight,,,,1,,0,,,,
Private Static Method,main.Main.change,,,,13,,4,,,,
Private Static Method,main.Main.delete,,,,1,,0,,,,
Private Static Method,main.Main.list,,,,1,,0,,,,
Private Static Method,main.Main.login,,,,4,,3,,,,
Public Static Method,main.Main.main,,,,4,,3,,,,
Public Static Method,main.Main.menu,,,,26,,2,,,,
Private Static Method,main.Main.pay,,,,9,,4,,,,
Private Static Method,main.Main.printHelp,,,,2,,1,,,,
Private Static Method,main.Main.pub,,,,6,,4,,,,
Private Static Method,main.Main.register,,,,3,,1,,,,
Private Static Method,main.Main.reserve,,,,6,,4,,,,
Private Static Method,main.Main.scanNextLine,,,,1,,0,,,,
Private Static Method,main.Main.search,,,,1,,0,,,,
Private Static Method,main.Main.systemMessage,,,,1,,0,,,,
Private Static Method,main.Main.unsubscribe,,,,10,,5,,,,
Public Class,main.MainCRUD,54,,4,54,1,4,1,0,1,3
Public Constructor,main.MainCRUD.MainCRUD,,,,1,,0,,,,
Public Method,main.MainCRUD.delete,,,,6,,2,,,,
Public Static Method,main.MainCRUD.deleteCity,,,,6,,4,,,,
Public Static Method,main.MainCRUD.deleteDaemon,,,,6,,4,,,,
Public Method,main.MainCRUD.deleteFlight,,,,6,,4,,,,
Public Static Method,main.MainCRUD.deleteUser,,,,5,,4,,,,
Public Method,main.MainCRUD.list,,,,9,,4,,,,
Public Static Method,main.MainCRUD.listCity,,,,3,,2,,,,
Public Static Method,main.MainCRUD.listFlight,,,,4,,3,,,,
Public Static Method,main.MainCRUD.listUser,,,,6,,4,,,,
Private Static Method,main.MainCRUD.scanNextLine,,,,1,,0,,,,
Private Static Method,main.MainCRUD.systemMessage,,,,1,,0,,,,
Public Class,main.MainSearch,66,,4,32,1,2,1,0,1,2
Public Constructor,main.MainSearch.MainSearch,,,,1,,0,,,,
Private Method,main.MainSearch.printCurrentFilter,,,,5,,0,,,,
Private Method,main.MainSearch.printHeadInfo,,,,1,,0,,,,
Protected Method,main.MainSearch.search,,,,9,,2,,,,
Private Method,main.MainSearch.searchByCity,,,,6,,1,,,,
Private Method,main.MainSearch.searchByDate,,,,8,,2,,,,
Private Method,main.MainSearch.strToInteger,,,,1,,0,,,,
Private Static Method,main.MainSearch.systemMessage,,,,1,,0,,,,
Public Class,main.MainServer,71,,2,80,3,4,1,0,1,11
Public Constructor,main.MainServer.MainServer,,,,1,,0,,,,
Public Method,main.MainServer.addAdmin,,,,1,,0,,,,
Public Method,main.MainServer.addCity,,,,1,,0,,,,
Public Method,main.MainServer.addPassenger,,,,1,,0,,,,
