Kind,Name,PercentLackOfCohesion,LCOM,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting,MaxInheritanceTree,CountClassDerived,CountClassBase,CountClassCoupled
Public Method,data.FlightDaemon.getArriveTime,,,,1,,0,,,,
Public Method,data.FlightDaemon.getChildren,,,,1,,0,,,,
Public Method,data.FlightDaemon.getDistance,,,,1,,0,,,,
Public Method,data.FlightDaemon.getFlightDaemonID,,,,1,,0,,,,
Public Method,data.FlightDaemon.getFlightName,,,,1,,0,,,,
Public Method,data.FlightDaemon.getPeriod,,,,1,,0,,,,
Public Method,data.FlightDaemon.getPrice,,,,1,,0,,,,
Public Method,data.FlightDaemon.getSeatCapacity,,,,1,,0,,,,
Public Method,data.FlightDaemon.getStartCity,,,,1,,0,,,,
Public Method,data.FlightDaemon.getStartTime,,,,1,,0,,,,
Public Method,data.FlightDaemon.getStatus,,,,1,,0,,,,
Public Method,data.FlightDaemon.hashCode,,,,1,,0,,,,
Public Method,data.FlightDaemon.removeFlight,,,,1,,0,,,,
Class,data.FlightDaemon.removeFlight.(Anon_1),0,,1,1,1,0,1,0,2,2
Public Method,data.FlightDaemon.removeFlight.(Anon_1).test,,,,1,,0,,,,
Public Method,data.FlightDaemon.setArriveCity,,,,4,,3,,,,
Public Method,data.FlightDaemon.setArriveTime,,,,4,,3,,,,
Public Method,data.FlightDaemon.setDistance,,,,3,,2,,,,
Public Method,data.FlightDaemon.setFlightDaemonID,,,,1,,0,,,,
Public Method,data.FlightDaemon.setFlightName,,,,4,,3,,,,
Public Method,data.FlightDaemon.setPeriod,,,,1,,0,,,,
Public Method,data.FlightDaemon.setPrice,,,,4,,3,,,,
Public Method,data.FlightDaemon.setSeatCapacity,,,,4,,3,,,,
Public Method,data.FlightDaemon.setStartCity,,,,4,,3,,,,
Public Method,data.FlightDaemon.setStartTime,,,,4,,3,,,,
Public Method,data.FlightDaemon.toString,,,,2,,0,,,,
Public Enum Type,data.FlightStatus,100,,1,2,1,0,1,0,1,0
Public Method,data.FlightStatus.valueOf,,,,1,,0,,,,
Public Method,data.FlightStatus.values,,,,1,,0,,,,
Public Class,data.Order,58,,2,30,1,3,1,0,2,6
Public Constructor,data.Order.Order,,,,1,,0,,,,
Public Constructor,data.Order.Order,,,,1,,0,,,,
Public Method,data.Order.cancle,,,,3,,2,,,,
Public Method,data.Order.getCreatDate,,,,1,,0,,,,
